	index	PERMANOVA_PseudoF	p_value	unifrac_type	num_samples	num_sequences
0	yedW_8	19.825720271585134	0.001	unweighted	1945	1945
1	uspA	9.39870559568502	0.001	unweighted	1925	1925
2	ychQ	9.254303317429619	0.001	unweighted	1885	1885
3	gshB	21.94262327054219	0.001	unweighted	1928	1928
4	cspA	17.087122637176023	0.001	unweighted	1888	1888
5	talB	10.08410495328555	0.001	unweighted	1932	1932
6	dinD	18.544234011197386	0.001	unweighted	1889	1889
7	holE	6.70985014063608	0.001	unweighted	1882	1882
8	yahK	14.470895881904509	0.001	unweighted	1931	1931
9	hycA	23.87725687670474	0.001	unweighted	1885	1885
10	rsmC	10.193998888364822	0.001	unweighted	1934	1934
11	yafE	11.16139784890057	0.001	unweighted	1881	1881
12	osmF	3.7215552908198797	0.003	unweighted	1934	1934
13	yfeR	5.599866012880316	0.001	unweighted	1884	1884
14	kdsD_1	31.165952089205202	0.001	unweighted	1947	1947
15	hisC	5.139989379337155	0.001	unweighted	1881	1881
16	ykgR	18.351229830089213	0.001	unweighted	1886	1886
17	cydC	7.84682502113241	0.001	unweighted	1879	1879
18	rlmI	7.042348636585829	0.001	unweighted	1874	1874
19	modE_2	34.05438216509468	0.001	unweighted	1948	1948
20	yhgE	12.282618117028122	0.001	unweighted	1871	1871
21	ydeH	5.753056493803222	0.001	unweighted	1880	1880
22	ubiG	5.1422373182078465	0.001	unweighted	1886	1886
23	modA	15.461876795485795	0.001	unweighted	1941	1941
24	mnmE	17.828681048242004	0.001	unweighted	1937	1937
25	mprA_2	22.117421847250256	0.001	unweighted	1899	1899
26	ypdA_1	5.240458525012297	0.001	unweighted	1895	1895
27	hemR	13.358919257226685	0.001	unweighted	1877	1877
28	tsgA	10.001911049892922	0.001	unweighted	1867	1867
29	hisI	5.707685174510651	0.001	unweighted	1881	1881
30	sucB_2	23.92137469019415	0.001	unweighted	1948	1948
31	dctB	10.585872391212687	0.001	unweighted	1879	1879
32	roxA	6.879510455776901	0.001	unweighted	1930	1930
33	legI	9.207014533569307	0.001	unweighted	1870	1870
34	hslR	8.925782003232564	0.001	unweighted	1922	1922
35	yfeX	5.170455023592335	0.001	unweighted	1935	1935
