mouse,tissue,sampling_date,tube_tare,tube_full,homogenization_volume,dilution,vol_plated,grams,grams_mL,plate_type,num_blobs,cfu_gram,treatment,log10_cfu_gram,count_source,notes_x,filename,experiment,generation,cage_id,sex,diet,date_born,date_died,dam,sire,date_colonized,notes_y,COVID_notes,col_time,col_weeks
230-WTN,stool,2019-08-21,1.5243,1.5823,1.0,1.0,0.2,0.058,0.058,LB+Cm,0.0,0,AZ51,,CFA_manual,,20190821_plate_photos/IMG_7223.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,64 days,9.142857142857142
230-WTN,stool,2019-08-21,1.5243,1.5823,1.0,1.0,0.2,0.058,0.058,LB+Km,0.0,0,AZ51,0.0,MT_manual,Manual,20190821_plate_photos/IMG_7109.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,64 days,9.142857142857142
230-WTN,stool,2019-08-21,1.5243,1.5823,1.0,1.0,0.2,0.058,0.058,EMBSuc,0.0,0,AZ51,0.0,MT_manual,Manual,20190821_plate_photos/IMG_7337.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,64 days,9.142857142857142
230-WTN,stool,2019-08-28,1.5261,1.6534,1.0,1.0,0.2,0.1273,0.1273,LB+Cm,0.0,,AZ51,,CFA_manual,,20190828_plate_photos/IMG_7496.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,71 days,10.142857142857142
230-WTN,stool,2019-08-28,1.5261,1.6534,1.0,1.0,0.2,0.1273,0.1273,LB+Km,1.0,39.27729772,AZ51,1.59,OpenCFU,2020-08-21 [06:26:14 PM]: no comment,20190828_plate_photos/IMG_7398.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,71 days,10.142857142857142
230-WTN,stool,2019-08-28,1.5261,1.6534,1.0,1.0,0.2,0.1273,0.1273,EMBSuc,4.0,157.1091909,AZ51,2.2,OpenCFU,True count~4,20190828_plate_photos/IMG_7611.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,71 days,10.142857142857142
230-WTN,stool,2019-09-04,1.5622,1.7009,1.0,1.0,0.2,0.1387,0.1387,LB+Km,0.0,0,AZ51,0.0,MT_manual,Manual,20190904_plate_photos/IMG_7697.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,78 days,11.142857142857142
230-WTN,stool,2019-09-04,1.5622,1.7009,1.0,1.0,0.2,0.1387,0.1387,LB+Cm,0.0,,AZ51,,CFA_manual,,20190904_plate_photos/IMG_7920.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,78 days,11.142857142857142
230-WTN,stool,2019-09-04,1.5622,1.7009,1.0,1.0,0.2,0.1387,0.1387,EMBLac,300.0,10814.71,AZ51,4.03,OpenCFU,2020-08-21 [06:58:52 PM]: no comment,20190904_plate_photos/IMG_8066.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,78 days,11.142857142857142
230-WTN,stool,2019-09-18,1.5307,1.6174,1.0,1.0,0.2,0.0867,0.0867,LB+Km,0.0,0,AZ51,0.0,MT_manual,Manual,20190918_plate_photos/IMG_8658.jpg,Adaptation_AZ51_NCD,G0,,M,NCD,2019-06-18,12/11/19,,,not gavaged,"WT male breeder, no bacteria, exposed via mate only",,92 days,13.142857142857142
