Mouse_name,Body Weight (g),Date_Weighed
23B,31.6,11/14/17
23LL,30.7,11/14/17
23N,31.8,11/14/17
23R,31.4,11/14/17
24B,26.3,11/14/17
24N,21.0,11/14/17
25L,31.5,11/14/17
25N,33.9,11/14/17
25R,32.1,11/14/17
26B,22.2,11/14/17
26L,23.0,11/14/17
26N,21.8,11/14/17
27L,33.4,11/14/17
27N,32.1,11/14/17
27R,29.4,11/14/17
28B,22.9,11/14/17
28L,23.0,11/14/17
28LL,24.4,11/14/17
28N,23.3,11/14/17
28R,26.4,11/14/17
29B,29.6,11/14/17
29L,28.4,11/14/17
29LL,28.6,11/14/17
29N,27.6,11/14/17
29R,28.9,11/14/17
30N,25.0,11/14/17
41B,31.5,11/21/17
41L,32.6,11/21/17
41LL,33.7,11/21/17
41N,27.8,11/21/17
41R,30.3,11/21/17
42L,27.7,11/21/17
42N,23.2,11/21/17
42R,22.5,11/21/17
43L,28.0,11/21/17
43N,27.6,11/21/17
43R,30.2,11/21/17
44B,21.0,11/21/17
44L,21.9,11/21/17
44N,26.7,11/21/17
44R,21.7,11/21/17
45L,21.3,11/21/17
45N,21.1,11/21/17
45R,22.6,11/21/17
46B,22.6,11/21/17
46L,20.0,11/21/17
46N,22.0,11/21/17
46R,22.9,11/21/17
23B,32.3,12/5/17
23LL,31.0,12/5/17
23N,32.1,12/5/17
23R,31.9,12/5/17
24B,25.8,12/5/17
24N,20.5,12/5/17
25L,30.3,12/5/17
25N,34.7,12/5/17
25R,31.3,12/5/17
26B,22.1,12/5/17
26L,23.6,12/5/17
26N,22.3,12/5/17
27L,33.3,12/5/17
27N,32.5,12/5/17
27R,29.3,12/5/17
28B,22.8,12/5/17
28L,23.8,12/5/17
28LL,23.7,12/5/17
28N,23.8,12/5/17
28R,26.2,12/5/17
29B,30.2,12/5/17
29L,29.2,12/5/17
29LL,30.2,12/5/17
29N,28.3,12/5/17
29R,29.9,12/5/17
30N,24.2,12/5/17
41B,32.0,12/12/17
41L,34.0,12/12/17
41LL,34.2,12/12/17
41N,28.2,12/12/17
41R,30.9,12/12/17
42L,27.5,12/12/17
42N,29.9,12/12/17
42R,21.8,12/12/17
43B,27.4,12/12/17
43L,28.2,12/12/17
43N,28.6,12/12/17
43R,31.5,12/12/17
44B,21.4,12/12/17
44L,22.2,12/12/17
44N,22.2,12/12/17
44R,21.7,12/12/17
45L,23.5,12/12/17
45N,22.1,12/12/17
45R,23.5,12/12/17
46L,24.6,12/12/17
46N,20.6,12/12/17
46R,23.5,12/12/17
23B,32.7,12/26/17
23LL,31.8,12/26/17
23N,32.5,12/26/17
23R,32.1,12/26/17
24B,25.5,12/26/17
24N,21.4,12/26/17
25L,30.8,12/26/17
25N,36.6,12/26/17
25R,32.2,12/26/17
26B,22.8,12/26/17
26L,23.3,12/26/17
26N,23.2,12/26/17
27L,34.5,12/26/17
27N,32.9,12/26/17
27R,29.6,12/26/17
28B,23.3,12/26/17
28L,23.3,12/26/17
28LL,25.4,12/26/17
28N,24.2,12/26/17
28R,27.5,12/26/17
29B,30.9,12/26/17
29L,29.7,12/26/17
29LL,30.7,12/26/17
29N,28.3,12/26/17
29R,30.4,12/26/17
30N,24.3,12/26/17
41B,33.2,1/2/18
41L,34.5,1/2/18
41LL,34.6,1/2/18
41N,29.6,1/2/18
41R,31.2,1/2/18
42L,29.1,1/2/18
42N,24.8,1/2/18
42R,23.2,1/2/18
43B,27.5,1/2/18
43L,29.1,1/2/18
43N,29.7,1/2/18
43R,32.6,1/2/18
44B,22.9,1/2/18
44L,22.0,1/2/18
44N,22.5,1/2/18
44R,23.4,1/2/18
45L,23.7,1/2/18
45N,23.3,1/2/18
45R,24.2,1/2/18
46L,26.8,1/2/18
46N,21.6,1/2/18
46R,24.8,1/2/18
23B,33.1,1/16/18
23LL,32.3,1/16/18
23N,32.3,1/16/18
23R,32.4,1/16/18
24B,26.4,1/16/18
24N,21.5,1/16/18
25L,33.0,1/16/18
25N,38.1,1/16/18
25R,33.8,1/16/18
26B,24.3,1/16/18
26L,25.0,1/16/18
26N,22.9,1/16/18
27L,31.0,1/16/18
27N,34.9,1/16/18
