collection_timepoint,mouse,phage
Day3,41L,4
Day3,41R,4
Day3,44R,4
Day3,46N,4
Day7,41B,4
Day7,41L,4
Day7,41LL,4
Day7,41N,5
Day7,41R,4
Day7,42L,4
Day7,42N,4
Day7,42R,4
Day7,43B,4
Day7,43L,4
Day7,43N,4
Day7,43R,4
Day7,44B,4
Day7,44L,4
Day7,44N,4
Day7,44R,4
Day7,45L,7
Day7,45N,4
Day7,45R,4
Day7,46L,6
Day7,46N,4
Day7,46R,5
Month1,41B,7
Month1,41L,4
Month1,41N,5
Month1,41R,4
Month1,44N,12
Month1,44R,4
Month1,46N,4
Month1,46R,7
Month10,41L,7
Month10,41R,4
Month10,44R,4
Month10,46N,4
Month3,41B,4
Month3,41L,6
Month3,41LL,6
Month3,41N,7
Month3,41R,4
Month3,42L,4
Month3,42N,4
Month3,42R,7
Month3,43L,4
Month3,43N,4
Month3,43R,4
Month3,44B,4
Month3,44L,4
Month3,44N,4
Month3,44R,4
Month3,45L,10
Month3,45N,6
Month6,41B,4
Month6,41LL,4
Month6,41N,4
Month6,41R,4
Month6,42L,4
Month6,42N,4
Month6,42R,4
Month6,43B,8
Month6,43L,4
Month6,43N,4
Month6,43R,4
Month6,44B,4
Month6,44L,5
Month6,44N,5
Month6,44R,7
Month6,45L,6
