	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
1__0_partial_1-cat_1_1	final-viral-combined-for-dramv	1__0_partial_1-cat_1	1	92	385	-1	E			YP_009909516.1	YP_009909516.1 hypothetical protein [Escherichia virus Lambda_1H12]	False	1.0	215.0	7.628000000000001e-65											VOG23864	REFSEQ hypothetical protein; Xu	Xu	0	2	5	False	F
1__0_partial_1-cat_1_2	final-viral-combined-for-dramv	1__0_partial_1-cat_1	2	398	676	-1	E			YP_009909515.1	YP_009909515.1 FIG00639828: hypothetical protein [Escherichia virus Lambda_1H12]	False	0.912	178.0	4.822e-52											VOG01197	REFSEQ hypothetical protein; Xu	Xu	0	2	4	False	F
1__0_partial_1-cat_1_3	final-viral-combined-for-dramv	1__0_partial_1-cat_1	3	673	2733	-1	D			YP_009909514.1	YP_009909514.1 Phage tail fiber protein [Escherichia virus Lambda_1H12]	True	0.567	745.0	3.886e-237								Prophage tail fibre N-terminal [PF08400.13]; Carboxypeptidase regulatory-like domain [PF13620.9]			VOG00369	REFSEQ hypothetical protein; Xu	Xu	0	0	4	False	F
1__0_partial_1-cat_1_4	final-viral-combined-for-dramv	1__0_partial_1-cat_1	4	2798	3397	-1	C	K07804	putatice virulence related protein PagC	YP_009909729.1	YP_009909729.1 Lom outer membrane protein precursor [Escherichia phage 2H10]	True	0.954	401.0	2.006e-127								Enterobacterial Ail/Lom protein [PF06316.14]; Outer membrane protein beta-barrel domain [PF13505.9]			VOG21032	sp|Q56957|AIL_YERPS Attachment invasion locus protein; Xh	Xh	0	2	1	False	F
1__0_partial_1-cat_1_5	final-viral-combined-for-dramv	1__0_partial_1-cat_1	5	3467	6880	-1	D			YP_009909728.1	YP_009909728.1 Phage tail fiber protein [Escherichia phage 2H10]	True	0.881	2082.0	0.0								Putative phage tail protein [PF13550.9]; Fibronectin type III protein [PF12421.11]; Domain of unknown function (DUF1983) [PF09327.14]			VOG00128	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein; XhXs	Xs;Xh	0	0	1	False	VF
1__0_partial_1-cat_1_6	final-viral-combined-for-dramv	1__0_partial_1-cat_1	6	6941	7513	-1	D			YP_009909512.1	YP_009909512.1 Phage tail assembly protein I [Escherichia virus Lambda_1H12]	True	0.901	359.0	4.356e-113								Bacteriophage lambda tail assembly protein I [PF06805.15]			VOG02673	sp|O64334|TIPI_BPN15 Tail tip assembly protein I; XhXs	Xs;Xh	0	0	1	False	V
1__0_partial_1-cat_1_7	final-viral-combined-for-dramv	1__0_partial_1-cat_1	7	7510	8109	-1	D			YP_009909726.1	YP_009909726.1 Phage tail assembly protein [Escherichia phage 2H10]	True	1.0	440.0	7.526e-141	MER0170074	C40	MER0170074 - family C40 unassigned peptidases (Shigella flexneri) [C40.UPW]#C40#{peptidase unit: 124-222}~source YP_005726368~	False	1.0	231.0	1.054e-67	NlpC/P60 family [PF00877.22]; Prokaryotic homologs of the JAB domain [PF14464.9]						0	0	1	False	P
1__0_partial_1-cat_1_8	final-viral-combined-for-dramv	1__0_partial_1-cat_1	8	8258	8956	-1	D			YP_009909725.1	YP_009909725.1 Phage minor tail protein [Escherichia phage 2H10]	True	0.972	477.0	3.518e-153								Phage minor tail protein L [PF05100.15]			VOG00306	sp|O64332|TIPL_BPN15 Tail tip protein L; XhXpXrXs	Xs;Xp;Xh;Xr	0	2	1	False	V
1__0_partial_1-cat_1_9	final-viral-combined-for-dramv	1__0_partial_1-cat_1	9	8956	9285	-1	D			YP_009909724.1	YP_009909724.1 Phage minor tail protein [Escherichia phage 2H10]	False	0.957	222.0	6.379e-67								Phage minor tail protein [PF05939.16]			VOG01395	sp|P03737|TIPM_LAMBD Tail tip protein M; XhXpXrXs	Xs;Xp;Xh;Xr	0	2	1	False	V
1__0_partial_1-cat_1_10	final-viral-combined-for-dramv	1__0_partial_1-cat_1	10	9282	11843	-1	D			YP_009909723.1	YP_009909723.1 Phage tail length tape-measure protein 1 [Escherichia phage 2H10]	True	0.87	1542.0	0.0								Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]			VOG01566	sp|Q6XQC4|TMP_BPT1 Tape measure protein; XpXrXs	Xs;Xp;Xr	0	0	1	False	V
1__0_partial_1-cat_1_11	final-viral-combined-for-dramv	1__0_partial_1-cat_1	11	11836	12270	-1	D			YP_009909722.1	YP_009909722.1 Phage minor tail protein [Escherichia phage 2H10]	False	0.968	296.0	5.659e-92								Minor tail protein T [PF06223.15]			VOG15805	sp|P03735|GT_LAMBD Tail assembly protein GT; XhXrXs	Xs;Xh;Xr	0	0	1	False	V
1__0_partial_1-cat_1_12	final-viral-combined-for-dramv	1__0_partial_1-cat_1	12	12252	12674	-1	D			YP_009909721.1	YP_009909721.1 Phage minor tail protein [Escherichia phage 2H10]	False	0.908	268.0	2.54e-82								Bacteriophage lambda tail assembly chaperone, TAC, protein G [PF06894.14]			VOG15805	sp|P03735|GT_LAMBD Tail assembly protein GT; XhXrXs	Xs;Xh;Xr	0	0	1	False	V
1__0_partial_1-cat_1_13	final-viral-combined-for-dramv	1__0_partial_1-cat_1	13	12690	13430	-1	D			YP_009909504.1	YP_009909504.1 Putative tail component of prophage CP-933K [Escherichia virus Lambda_1H12]	True	0.914	472.0	5.6239999999999996e-151								Lambda phage tail tube protein, TTP [PF16461.8]; Phage tail tube protein, TTP [PF08813.14]; Bacterial Ig-like domain (group 2) [PF02368.21]						0	0	1	False	
1__0_partial_1-cat_1_14	final-viral-combined-for-dramv	1__0_partial_1-cat_1	14	13438	13833	-1	D			YP_009909503.1	YP_009909503.1 Phage Tc1 tail completion protein [Escherichia virus Lambda_1H12]	False	0.959	267.0	4.248e-82								Phage minor tail protein U [PF06141.14]			VOG06175	sp|O64326|TTTP_BPN15 Tail tube terminator protein; XhXpXrXs	Xs;Xp;Xh;Xr	0	0	1	False	V
