query_acc	subject_acc	perc_ident	align_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score
1__0_partial_1-cat_1	30N_Day7_5_S923_1	100	44115	0	0	1	44115	2174160	2218274	0	81466
1__0_partial_1-cat_1	30N_Day7_3_S92_1	100	44115	0	0	1	44115	1757574	1713460	0	81466
1__0_partial_1-cat_1	30N_Day7_2_S92_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	30N_Day7_24_S1276_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	30N_Day7_21_S1273_1	100	44115	0	0	1	44115	2174144	2218258	0	81466
1__0_partial_1-cat_1	30N_Day7_20_S1272_1	100	44115	0	0	1	44115	390229	346115	0	81466
1__0_partial_1-cat_1	30N_Day7_19_S127_1	100	44115	0	0	1	44115	2174019	2218133	0	81466
1__0_partial_1-cat_1	30N_Day7_18_S127_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	30N_Day7_17_S1269_1	100	44115	0	0	1	44115	220832	264946	0	81466
1__0_partial_1-cat_1	30N_Day7_16_S1268_1	100	44115	0	0	1	44115	220840	264954	0	81466
1__0_partial_1-cat_1	30N_Day7_15_S1267_1	100	44115	0	0	1	44115	1557368	1601482	0	81466
1__0_partial_1-cat_1	30N_Day7_15_S1267_1	100	33	0	0	10133	10165	2935529	2935561	5.84E-05	62.1
1__0_partial_1-cat_1	30N_Day7_15_S1267_1	100	28	0	0	32840	32867	1091292	1091319	0.035	52.8
1__0_partial_1-cat_1	30N_Day7_14_S1266_1	100	44115	0	0	1	44115	2174143	2218257	0	81466
1__0_partial_1-cat_1	30N_Day7_12_S93_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29R_Month3_8_S124_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_7_S12_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_6_S122_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_5_S12_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_4_S12_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_3_S119_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_2_S118_1	100	44115	0	0	1	44115	1106267	1062153	0	81466
1__0_partial_1-cat_1	29R_Month3_24_S445_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29R_Month3_23_S444_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_22_S44_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_21_S442_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_20_S44_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29R_Month3_18_S439_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_16_S437_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_15_S436_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29R_Month3_14_S435_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_13_S434_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Month3_11_S127_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29R_Day7_6_S9_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Day7_3_S897_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29R_Day7_2_S896_1	100	44115	0	0	1	44115	2173695	2217809	0	81466
1__0_partial_1-cat_1	29R_Day7_1_S895_1	100	44115	0	0	1	44115	2173284	2217398	0	81466
1__0_partial_1-cat_1	29R_Day7_10_S904_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29N_Day7_9_S867_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29N_Day7_8_S866_1	100	44115	0	0	1	44115	2173491	2217605	0	81466
1__0_partial_1-cat_1	29N_Day7_6_S1009_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29N_Day7_5_S1017_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29N_Day7_3_S1077_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29N_Day7_2_S1076_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29LL_Month3_23_S456_1	100	44115	0	0	1	44115	2174145	2218259	0	81466
1__0_partial_1-cat_1	29LL_Day7_8_S89_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29LL_Day7_6_S888_1	100	44115	0	0	1	44115	241258	285372	0	81466
1__0_partial_1-cat_1	29LL_Day7_23_S1248_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29LL_Day7_21_S1246_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29LL_Day7_16_S124_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29LL_Day7_15_S124_1	100	44115	0	0	1	44115	2174142	2218256	0	81466
1__0_partial_1-cat_1	29LL_Day7_14_S1239_1	100	44115	0	0	1	44115	2174179	2218293	0	81466
1__0_partial_1-cat_1	29L_Day7_8_S878_1	100	44115	0	0	1	44115	2878169	2834055	0	81466
1__0_partial_1-cat_1	29L_Day7_7_S877_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29L_Day7_6_S876_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29L_Day7_5_S875_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29L_Day7_4_S874_1	100	44115	0	0	1	44115	430284	386170	0	81466
1__0_partial_1-cat_1	29L_Day7_3_S87_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29L_Day7_2_S872_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29L_Day7_22_S1235_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29L_Day7_12_S882_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	29L_Day7_10_S88_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	29B_Day7_20_S126_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	29B_Day7_15_S1255_1	100	44115	0	0	1	44115	2174151	2218265	0	81466
1__0_partial_1-cat_1	29B_Day7_14_S1254_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28R_Month6_7_S687_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28R_Month6_5_S685_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28R_Month6_2_S682_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28R_Month6_23_S7_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28R_Month6_21_S7_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28R_Month3_17_S394_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28R_Month3_16_S39_1	100	44115	0	0	1	44115	2174160	2218274	0	81466
1__0_partial_1-cat_1	28R_Month3_10_S247_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28R_Day7_6_S106_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28R_Day7_3_S1006_1	100	44115	0	0	1	44115	2174143	2218257	0	81466
1__0_partial_1-cat_1	28R_Day7_24_S121_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28R_Day7_21_S12_1	100	44115	0	0	1	44115	2174145	2218259	0	81466
1__0_partial_1-cat_1	28N_Month6_8_S64_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month6_4_S636_1	100	44115	0	0	1	44115	2174147	2218261	0	81466
1__0_partial_1-cat_1	28N_Month6_3_S635_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28N_Month6_23_S655_1	100	44115	0	0	1	44115	2174147	2218261	0	81466
1__0_partial_1-cat_1	28N_Month6_21_S65_1	100	44115	0	0	1	44115	2174147	2218261	0	81466
1__0_partial_1-cat_1	28N_Month6_19_S65_1	100	44115	0	0	1	44115	2174147	2218261	0	81466
1__0_partial_1-cat_1	28N_Month6_17_S649_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28N_Month3_4_S144_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28N_Month3_23_S432_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month3_1_S14_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28N_Month3_19_S428_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month3_15_S416_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28N_Month3_13_S414_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28N_Month1_9_S165_1	100	44115	0	0	1	44115	2529912	2574026	0	81466
1__0_partial_1-cat_1	28N_Month1_5_S1_1	100	44115	0	0	1	44115	239481	283595	0	81466
1__0_partial_1-cat_1	28N_Month1_24_S19_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28N_Month1_23_S182_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month1_22_S174_1	100	44115	0	0	1	44115	1553315	1597429	0	81466
1__0_partial_1-cat_1	28N_Month1_21_S166_1	100	44115	0	0	1	44115	2174136	2218250	0	81466
1__0_partial_1-cat_1	28N_Month1_20_S158_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month1_17_S134_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28N_Month1_15_S118_1	100	44115	0	0	1	44115	2174135	2218249	0	81466
1__0_partial_1-cat_1	28N_Month1_13_S102_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Month1_11_S181_1	100	44115	0	0	1	44115	2499403	2543517	0	81466
1__0_partial_1-cat_1	28N_Month1_10_S17_1	100	44115	0	0	1	44115	1942310	1986424	0	81466
1__0_partial_1-cat_1	28N_Day7_4_S1036_1	100	44115	0	0	1	44115	2174148	2218262	0	81466
1__0_partial_1-cat_1	28N_Day7_19_S1185_1	100	44115	0	0	1	44115	2174160	2218274	0	81466
1__0_partial_1-cat_1	28N_Day7_11_S1012_2	100	44115	0	0	1	44115	252224	296338	0	81466
1__0_partial_1-cat_1	28N_Day3_8_S61_1	100	44115	0	0	1	44115	1106175	1062061	0	81466
1__0_partial_1-cat_1	28N_Day3_7_S5_1	100	44115	0	0	1	44115	2174136	2218250	0	81466
1__0_partial_1-cat_1	28N_Day3_6_S45_1	100	44115	0	0	1	44115	2174136	2218250	0	81466
1__0_partial_1-cat_1	28N_Day3_5_S37_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Day3_2_S1_1	100	44115	0	0	1	44115	2174144	2218258	0	81466
1__0_partial_1-cat_1	28N_Day3_24_S94_1	100	44115	0	0	1	44115	2875154	2919268	0	81466
1__0_partial_1-cat_1	28N_Day3_22_S78_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28N_Day3_1_S5_1	100	44115	0	0	1	44115	2826248	2782134	0	81466
1__0_partial_1-cat_1	28N_Day3_18_S46_1	100	44115	0	0	1	44115	1106282	1062168	0	81466
1__0_partial_1-cat_1	28N_Day3_17_S38_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28N_Day3_15_S22_1	100	44115	0	0	1	44115	2173925	2218039	0	81466
1__0_partial_1-cat_1	28N_Day3_13_S6_1	100	44115	0	0	1	44115	2174144	2218258	0	81466
1__0_partial_1-cat_1	28N_Day3_10_S77_1	100	44115	0	0	1	44115	2174158	2218272	0	81466
1__0_partial_1-cat_1	28L_Month6_9_S665_1	100	44115	0	0	1	44115	2174145	2218259	0	81466
1__0_partial_1-cat_1	28L_Month6_6_S662_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28L_Month6_5_S66_1	100	44115	0	0	1	44115	2174144	2218258	0	81466
1__0_partial_1-cat_1	28L_Month6_23_S679_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28L_Month6_18_S674_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28L_Month6_16_S672_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28L_Month6_13_S669_1	100	44115	0	0	1	44115	2174157	2218271	0	81466
1__0_partial_1-cat_1	28L_Month6_11_S667_1	100	44115	0	0	1	44115	2174145	2218259	0	81466
1__0_partial_1-cat_1	28L_Month1_9_S167_1	100	44115	0	0	1	44115	2174146	2218260	0	81466
1__0_partial_1-cat_1	28L_Month1_8_S159_1	100	44115	0	0	1	44115	1739342	1695228	0	81466
1__0_partial_1-cat_1	28L_Month1_7_S151_1	100	44115	0	0	1	44115	1795698	1751584	0	81466
