sample,phage_id,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral genes with unknown function,Viral genes with host benefits,Viral structure genes,Viral hypothetical genes,Viral genes with viral benefits,Viral replication genes,identification,simple_id
41B_Day7_11_S81_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,10.0,9.0,./DRAMv/41B_Day7_11_S81_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_11
41B_Day7_11_S81_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,12.0,8.0,5.0,./DRAMv/41B_Day7_11_S81_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_11
41B_Day7_11_S81_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_11_S81_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_11
41B_Day7_12_S89_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,5.0,14.0,./DRAMv/41B_Day7_12_S89_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_12
41B_Day7_12_S89_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,7.0,11.0,4.0,9.0,./DRAMv/41B_Day7_12_S89_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_12
41B_Day7_15_S18_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,2.0,7.0,./DRAMv/41B_Day7_15_S18_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_15
41B_Day7_15_S18_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,17.0,2.0,12.0,1.0,2.0,./DRAMv/41B_Day7_15_S18_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_15
41B_Day7_15_S18_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Day7_15_S18_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_15
41B_Day7_16_S26_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Day7_16_S26_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_16
41B_Day7_16_S26_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,2.0,7.0,./DRAMv/41B_Day7_16_S26_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_16
41B_Day7_16_S26_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,17.0,2.0,12.0,1.0,2.0,./DRAMv/41B_Day7_16_S26_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_16
41B_Day7_18_S42_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_18_S42_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_18
41B_Day7_18_S42_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,8.0,14.0,10.0,2.0,7.0,./DRAMv/41B_Day7_18_S42_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_18
41B_Day7_18_S42_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,5.0,11.0,12.0,1.0,5.0,./DRAMv/41B_Day7_18_S42_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_18
41B_Day7_17_S34_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,10.0,9.0,./DRAMv/41B_Day7_17_S34_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_17
41B_Day7_17_S34_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,11.0,9.0,5.0,./DRAMv/41B_Day7_17_S34_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_17
41B_Day7_13_S2_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_13_S2_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_13
41B_Day7_13_S2_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,14.0,10.0,5.0,7.0,./DRAMv/41B_Day7_13_S2_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_13
41B_Day7_13_S2_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,11.0,12.0,3.0,5.0,./DRAMv/41B_Day7_13_S2_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_13
41B_Day7_14_S10_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,5.0,14.0,./DRAMv/41B_Day7_14_S10_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_14
41B_Day7_14_S10_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,11.0,5.0,9.0,./DRAMv/41B_Day7_14_S10_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_14
41B_Day7_10_S73_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,16.0,0.0,10.0,10.0,5.0,./DRAMv/41B_Day7_10_S73_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_10
41B_Day7_10_S73_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,11.0,2.0,12.0,8.0,1.0,./DRAMv/41B_Day7_10_S73_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_10
41B_Day7_10_S73_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Day7_10_S73_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_10
41B_Day7_19_S50_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Day7_19_S50_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_19
41B_Day7_19_S50_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,10.0,11.0,11.0,1.0,1.0,./DRAMv/41B_Day7_19_S50_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_19
41B_Day7_1_S1_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,1.0,0.0,11.0,0.0,1.0,./DRAMv/41B_Day7_1_S1_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_1
41B_Day7_1_S1_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,15.0,0.0,10.0,2.0,14.0,./DRAMv/41B_Day7_1_S1_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_1
41B_Day7_1_S1_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,10.0,2.0,12.0,1.0,9.0,./DRAMv/41B_Day7_1_S1_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_1
41B_Day7_20_S58_L002,2__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,9.0,11.0,13.0,1.0,1.0,./DRAMv/41B_Day7_20_S58_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_20
41B_Day7_20_S58_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,1.0,1.0,11.0,0.0,0.0,./DRAMv/41B_Day7_20_S58_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_20
41B_Day7_20_S58_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Day7_20_S58_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_20
41B_Day7_21_S66_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,7.0,9.0,10.0,10.0,5.0,./DRAMv/41B_Day7_21_S66_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_21
41B_Day7_21_S66_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,6.0,7.0,12.0,8.0,1.0,./DRAMv/41B_Day7_21_S66_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_21
41B_Day7_21_S66_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,1.0,1.0,11.0,0.0,0.0,./DRAMv/41B_Day7_21_S66_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_21
41B_Day7_22_S74_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Day7_22_S74_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_22
41B_Day7_22_S74_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,4.0,5.0,./DRAMv/41B_Day7_22_S74_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_22
41B_Day7_22_S74_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,17.0,2.0,12.0,2.0,1.0,./DRAMv/41B_Day7_22_S74_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_22
41B_Day7_23_S82_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Day7_23_S82_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_23
41B_Day7_23_S82_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,10.0,11.0,11.0,1.0,1.0,./DRAMv/41B_Day7_23_S82_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_23
41B_Day7_2_S9_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Day7_2_S9_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_2
41B_Day7_2_S9_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,10.0,11.0,11.0,1.0,1.0,./DRAMv/41B_Day7_2_S9_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_2
41B_Day7_24_S90_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,9.0,10.0,10.0,7.0,./DRAMv/41B_Day7_24_S90_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_24
41B_Day7_24_S90_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,7.0,12.0,8.0,4.0,./DRAMv/41B_Day7_24_S90_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_24
41B_Day7_24_S90_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_24_S90_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_24
41B_Day7_3_S17_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_3_S17_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_3
