,Unnamed: 0,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral genes with host benefits,Viral genes with unknown function,Viral structure genes,Viral hypothetical genes,Viral genes with viral benefits,Viral replication genes,identification,sample,simple_id
0,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,5.0,18.0,2.0,17.0,9.0,6.0,./23B_Day7_21_S1302/dramv-distill/vMAG_stats.tsv,23B_Day7_21_S1302,23B_Day7_21
1,2__0_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,3.0,0.0,0.0,12.0,0.0,2.0,./23B_Day7_21_S1302/dramv-distill/vMAG_stats.tsv,23B_Day7_21_S1302,23B_Day7_21
2,7__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,10.0,15.0,0.0,5.0,10.0,6.0,./23B_Day7_21_S1302/dramv-distill/vMAG_stats.tsv,23B_Day7_21_S1302,23B_Day7_21
3,2__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,8.0,18.0,2.0,17.0,1.0,11.0,./23B_Day7_11_S38/dramv-distill/vMAG_stats.tsv,23B_Day7_11_S38,23B_Day7_11
4,3__0_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,3.0,0.0,0.0,12.0,0.0,2.0,./23B_Day7_11_S38/dramv-distill/vMAG_stats.tsv,23B_Day7_11_S38,23B_Day7_11
5,7__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,14.0,15.0,0.0,5.0,1.0,11.0,./23B_Day7_11_S38/dramv-distill/vMAG_stats.tsv,23B_Day7_11_S38,23B_Day7_11
6,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,8.0,18.0,2.0,17.0,1.0,11.0,./23B_Day7_20_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_20_S1,23B_Day7_20
7,2__0_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,3.0,0.0,0.0,12.0,0.0,2.0,./23B_Day7_20_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_20_S1,23B_Day7_20
8,6__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,14.0,15.0,0.0,5.0,1.0,11.0,./23B_Day7_20_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_20_S1,23B_Day7_20
9,1__0_partial_1-cat_1,1,False,False,56,6,0,False,0.0,14.0,18.0,4.0,17.0,1.0,2.0,./23B_Day7_16_S1297/dramv-distill/vMAG_stats.tsv,23B_Day7_16_S1297,23B_Day7_16
10,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,20.0,16.0,2.0,7.0,1.0,3.0,./23B_Day7_16_S1297/dramv-distill/vMAG_stats.tsv,23B_Day7_16_S1297,23B_Day7_16
11,1__2_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,5.0,0.0,0.0,12.0,0.0,0.0,./23B_Day7_16_S1297/dramv-distill/vMAG_stats.tsv,23B_Day7_16_S1297,23B_Day7_16
12,1__0_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,4.0,16.0,9.0,7.0,10.0,3.0,./23B_Day7_14_S1295/dramv-distill/vMAG_stats.tsv,23B_Day7_14_S1295,23B_Day7_14
13,1__1_partial_1-cat_1,1,False,False,56,6,0,False,0.0,3.0,18.0,7.0,17.0,9.0,2.0,./23B_Day7_14_S1295/dramv-distill/vMAG_stats.tsv,23B_Day7_14_S1295,23B_Day7_14
14,1__2_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,3.0,0.0,2.0,12.0,0.0,0.0,./23B_Day7_14_S1295/dramv-distill/vMAG_stats.tsv,23B_Day7_14_S1295,23B_Day7_14
15,18__full-cat_1,1,False,False,6,1,0,False,0.0,0.0,1.0,0.0,5.0,0.0,0.0,./23B_Day7_22_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_22_S1,23B_Day7_22
16,1__0_partial_1-cat_1,1,False,False,58,7,0,False,0.017241379310344827,1.0,18.0,12.0,19.0,3.0,5.0,./23B_Day7_22_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_22_S1,23B_Day7_22
17,1__1_partial_1-cat_1,1,False,False,51,9,0,True,0.05882352941176471,3.0,16.0,14.0,9.0,5.0,4.0,./23B_Day7_22_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_22_S1,23B_Day7_22
18,6__0_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,1.0,0.0,2.0,12.0,0.0,2.0,./23B_Day7_22_S1/dramv-distill/vMAG_stats.tsv,23B_Day7_22_S1,23B_Day7_22
19,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,4.0,18.0,7.0,17.0,9.0,2.0,./23B_Day7_18_S1299/dramv-distill/vMAG_stats.tsv,23B_Day7_18_S1299,23B_Day7_18
20,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,4.0,16.0,9.0,7.0,10.0,3.0,./23B_Day7_18_S1299/dramv-distill/vMAG_stats.tsv,23B_Day7_18_S1299,23B_Day7_18
21,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,3.0,0.0,2.0,13.0,0.0,0.0,./23B_Day7_18_S1299/dramv-distill/vMAG_stats.tsv,23B_Day7_18_S1299,23B_Day7_18
22,1__0_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,5.0,0.0,0.0,13.0,0.0,0.0,./23B_Day7_17_S1298/dramv-distill/vMAG_stats.tsv,23B_Day7_17_S1298,23B_Day7_17
23,2__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,9.0,18.0,2.0,17.0,9.0,2.0,./23B_Day7_17_S1298/dramv-distill/vMAG_stats.tsv,23B_Day7_17_S1298,23B_Day7_17
24,6__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,13.0,15.0,0.0,5.0,10.0,3.0,./23B_Day7_17_S1298/dramv-distill/vMAG_stats.tsv,23B_Day7_17_S1298,23B_Day7_17
25,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,5.0,18.0,2.0,17.0,9.0,6.0,./23B_Day7_12_S384/dramv-distill/vMAG_stats.tsv,23B_Day7_12_S384,23B_Day7_12
26,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,10.0,16.0,0.0,7.0,10.0,6.0,./23B_Day7_12_S384/dramv-distill/vMAG_stats.tsv,23B_Day7_12_S384,23B_Day7_12
27,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,3.0,0.0,0.0,13.0,0.0,2.0,./23B_Day7_12_S384/dramv-distill/vMAG_stats.tsv,23B_Day7_12_S384,23B_Day7_12
28,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,9.0,18.0,2.0,17.0,9.0,2.0,./23B_Day7_13_S1294/dramv-distill/vMAG_stats.tsv,23B_Day7_13_S1294,23B_Day7_13
29,1__1_partial_1-cat_1,1,False,False,50,9,0,True,0.06,13.0,17.0,0.0,7.0,10.0,3.0,./23B_Day7_13_S1294/dramv-distill/vMAG_stats.tsv,23B_Day7_13_S1294,23B_Day7_13
30,1__2_partial_1-cat_1,1,False,False,18,3,0,False,0.05555555555555555,5.0,0.0,0.0,13.0,0.0,0.0,./23B_Day7_13_S1294/dramv-distill/vMAG_stats.tsv,23B_Day7_13_S1294,23B_Day7_13
31,2__full_1-cat_1,1,False,False,41,5,0,False,0.0,7.0,13.0,2.0,10.0,8.0,1.0,./23B_Day7_13_S1294/dramv-distill/vMAG_stats.tsv,23B_Day7_13_S1294,23B_Day7_13
32,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,7.0,18.0,9.0,17.0,1.0,5.0,./23B_Day7_23_S1304/dramv-distill/vMAG_stats.tsv,23B_Day7_23_S1304,23B_Day7_23
33,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,8.0,16.0,11.0,7.0,1.0,6.0,./23B_Day7_23_S1304/dramv-distill/vMAG_stats.tsv,23B_Day7_23_S1304,23B_Day7_23
34,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,3.0,0.0,2.0,13.0,0.0,0.0,./23B_Day7_23_S1304/dramv-distill/vMAG_stats.tsv,23B_Day7_23_S1304,23B_Day7_23
35,5__full_1-cat_1,1,False,False,51,3,0,False,0.0,6.0,15.0,7.0,17.0,1.0,5.0,./23B_Day7_23_S1304/dramv-distill/vMAG_stats.tsv,23B_Day7_23_S1304,23B_Day7_23
36,9__full-cat_2,2,False,False,19,5,0,False,0.2631578947368421,5.0,6.0,0.0,8.0,0.0,0.0,./23B_Day7_23_S1304/dramv-distill/vMAG_stats.tsv,23B_Day7_23_S1304,23B_Day7_23
37,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,1.0,18.0,7.0,17.0,9.0,5.0,./23B_Day7_24_S1305/dramv-distill/vMAG_stats.tsv,23B_Day7_24_S1305,23B_Day7_24
38,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,3.0,16.0,9.0,7.0,10.0,4.0,./23B_Day7_24_S1305/dramv-distill/vMAG_stats.tsv,23B_Day7_24_S1305,23B_Day7_24
39,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,1.0,0.0,2.0,13.0,0.0,2.0,./23B_Day7_24_S1305/dramv-distill/vMAG_stats.tsv,23B_Day7_24_S1305,23B_Day7_24
40,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,1.0,18.0,12.0,17.0,4.0,5.0,./23B_Day7_2_S768/dramv-distill/vMAG_stats.tsv,23B_Day7_2_S768,23B_Day7_2
41,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,3.0,16.0,14.0,7.0,5.0,4.0,./23B_Day7_2_S768/dramv-distill/vMAG_stats.tsv,23B_Day7_2_S768,23B_Day7_2
42,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,1.0,0.0,2.0,13.0,0.0,2.0,./23B_Day7_2_S768/dramv-distill/vMAG_stats.tsv,23B_Day7_2_S768,23B_Day7_2
43,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,15.0,18.0,2.0,17.0,3.0,2.0,./23B_Day7_3_S375/dramv-distill/vMAG_stats.tsv,23B_Day7_3_S375,23B_Day7_3
44,2__0_partial_1-cat_1,1,False,False,17,2,0,False,0.05882352941176471,5.0,0.0,0.0,12.0,0.0,0.0,./23B_Day7_3_S375/dramv-distill/vMAG_stats.tsv,23B_Day7_3_S375,23B_Day7_3
45,6__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,20.0,15.0,0.0,5.0,3.0,3.0,./23B_Day7_3_S375/dramv-distill/vMAG_stats.tsv,23B_Day7_3_S375,23B_Day7_3
46,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,15.0,18.0,4.0,17.0,1.0,2.0,./23B_Day7_5_S377/dramv-distill/vMAG_stats.tsv,23B_Day7_5_S377,23B_Day7_5
47,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,20.0,16.0,2.0,7.0,1.0,3.0,./23B_Day7_5_S377/dramv-distill/vMAG_stats.tsv,23B_Day7_5_S377,23B_Day7_5
48,1__2_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,5.0,0.0,0.0,13.0,0.0,0.0,./23B_Day7_5_S377/dramv-distill/vMAG_stats.tsv,23B_Day7_5_S377,23B_Day7_5
49,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,15.0,18.0,2.0,17.0,3.0,2.0,./23B_Day7_4_S376/dramv-distill/vMAG_stats.tsv,23B_Day7_4_S376,23B_Day7_4
50,1__1_partial_1-cat_1,1,False,False,18,1,0,False,0.05555555555555555,5.0,0.0,0.0,13.0,0.0,0.0,./23B_Day7_4_S376/dramv-distill/vMAG_stats.tsv,23B_Day7_4_S376,23B_Day7_4
51,2__0_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,20.0,16.0,0.0,7.0,3.0,3.0,./23B_Day7_4_S376/dramv-distill/vMAG_stats.tsv,23B_Day7_4_S376,23B_Day7_4
52,1__0_partial_1-cat_1,1,False,False,57,7,0,False,0.017543859649122806,9.0,18.0,2.0,17.0,9.0,2.0,./23B_Day7_6_S378/dramv-distill/vMAG_stats.tsv,23B_Day7_6_S378,23B_Day7_6
53,1__1_partial_1-cat_1,1,False,False,49,9,0,True,0.061224489795918366,13.0,16.0,0.0,7.0,10.0,3.0,./23B_Day7_6_S378/dramv-distill/vMAG_stats.tsv,23B_Day7_6_S378,23B_Day7_6
